iter	Passed	Remaining
0	0	188
1	2	215
2	3	230
3	4	238
4	5	230
5	7	230
6	8	226
7	9	235
8	11	235
9	12	231
10	13	229
11	15	237
12	16	238
13	17	236
14	18	233
15	20	238
16	21	235
17	23	232
18	24	233
19	26	237
20	27	236
21	28	234
22	30	231
23	31	233
24	57	403
25	59	398
26	60	389
27	62	384
28	63	377
29	65	369
30	66	364
31	71	375
32	72	368
33	74	362
34	75	356
35	76	350
36	78	343
37	79	338
38	80	332
39	81	326
40	82	319
41	83	313
42	84	307
43	85	302
44	86	297
45	87	292
46	88	287
47	88	281
48	89	276
49	90	271
50	91	267
51	92	262
52	93	258
53	94	254
54	94	250
55	95	246
56	96	242
57	97	239
58	98	236
59	99	233
60	100	229
61	101	226
62	102	223
63	103	220
64	104	217
65	105	214
66	106	211
67	107	208
68	108	205
69	109	202
70	110	199
71	110	197
72	111	194
73	112	192
74	113	189
75	114	186
76	115	184
77	115	181
78	116	178
79	117	176
80	118	174
81	119	171
82	120	169
83	121	167
84	122	165
85	123	163
86	124	161
87	125	159
88	126	158
89	127	156
90	128	154
91	129	152
92	130	150
93	131	148
94	132	146
95	133	144
96	134	142
97	135	140
98	136	138
99	137	137
100	138	136
101	139	134
102	140	132
103	141	130
104	142	128
105	143	127
106	144	125
107	145	123
108	146	122
109	147	120
110	147	118
111	148	117
112	150	115
113	151	114
114	152	112
115	153	111
116	154	109
117	155	107
118	156	106
119	157	104
120	158	103
121	159	101
122	160	100
123	161	98
124	161	97
125	162	95
126	163	94
127	164	92
128	166	91
129	167	89
130	168	88
131	169	87
132	170	85
133	171	84
134	172	82
135	172	81
136	173	79
137	174	78
138	175	77
139	176	75
140	178	74
141	179	73
142	180	72
143	181	70
144	182	69
145	183	67
146	184	66
147	185	65
148	186	63
149	187	62
150	188	61
151	189	59
152	190	58
153	191	57
154	192	55
155	193	54
156	194	53
157	195	51
158	196	50
159	197	49
160	198	47
161	199	46
162	199	45
163	200	44
164	201	42
165	202	41
166	203	40
167	204	38
168	205	37
169	207	36
170	207	35
171	209	34
172	209	32
173	210	31
174	211	30
175	212	28
176	213	27
177	213	26
178	214	25
179	215	23
180	216	22
181	217	21
182	218	20
183	219	19
184	219	17
185	220	16
186	221	15
187	222	14
188	223	13
189	224	11
190	225	10
191	225	9
192	226	8
193	227	7
194	228	5
195	229	4
196	230	3
197	231	2
198	232	1
199	232	0
