iter	Logloss
0	0.6863311872
1	0.6811156769
2	0.675297019
3	0.6697431736
4	0.6641757891
5	0.6576655527
6	0.6521870264
7	0.6465564244
8	0.6407595115
9	0.6357725209
10	0.6299942127
11	0.6240479694
12	0.6196095071
13	0.6148714839
14	0.6092625604
15	0.6046763923
16	0.6012725482
17	0.5958120702
18	0.5903243177
19	0.5866024234
20	0.5831390418
21	0.5787381288
22	0.5749015514
23	0.5703199028
24	0.5662367846
25	0.5628681848
26	0.5589082338
27	0.5543910408
28	0.5503863635
29	0.5470574213
30	0.5441266938
31	0.5396280029
32	0.5356241718
33	0.5315397009
34	0.5279847064
35	0.524837952
36	0.5223885124
37	0.5198268865
38	0.5167430774
39	0.5138832886
40	0.5101493502
41	0.5066101703
42	0.5033713538
43	0.5005898264
44	0.4980702542
45	0.4959251397
46	0.4933986541
47	0.4906194429
48	0.4878359086
49	0.4850754619
50	0.4825927093
51	0.4798298326
52	0.4776107608
53	0.4754404985
54	0.4733500586
55	0.4706075925
56	0.4677355156
57	0.4656739688
58	0.4637413342
59	0.4615248361
60	0.4599758913
61	0.4583984871
62	0.4567064359
63	0.4540941716
64	0.4529822056
65	0.4512089967
66	0.4486739084
67	0.4467865294
68	0.4449613562
69	0.4426120102
70	0.4401612042
71	0.438069637
72	0.4367153218
73	0.4353223444
74	0.4339942675
75	0.4315640863
76	0.4298680142
77	0.4285275433
78	0.4265790548
79	0.424402353
80	0.4228360592
81	0.4214211964
82	0.4200601808
83	0.41843202
84	0.4167986161
85	0.4156403894
86	0.4140655673
87	0.4124222542
88	0.4107328533
89	0.4090921932
90	0.4075415502
91	0.4062398769
92	0.4044658144
93	0.4030178973
94	0.4012033591
95	0.3994677382
96	0.3983236085
97	0.3969830495
98	0.3955619916
99	0.3946122376
100	0.3932344721
101	0.3920746282
102	0.3911707045
103	0.3895752446
104	0.3880976289
105	0.3867508256
106	0.3855281282
107	0.3841014747
108	0.3829276114
109	0.3818795112
110	0.3809667195
111	0.3790017061
112	0.3774332536
113	0.3762372289
114	0.3750417651
115	0.3735203405
116	0.3727670943
117	0.3713846731
118	0.3705587737
119	0.3694386401
120	0.368743845
121	0.3679428928
122	0.3666192041
123	0.3654787469
124	0.3643185066
125	0.3636195275
126	0.3625184266
127	0.3609777524
128	0.3595978915
129	0.3583702016
130	0.3569225066
131	0.3558534747
132	0.3548311731
133	0.3533459377
134	0.3524239208
135	0.3517958373
136	0.3504984228
137	0.3497338993
138	0.3488642715
139	0.3482264684
140	0.3470773704
141	0.3458236774
142	0.3445470068
143	0.3436376857
144	0.3426585448
145	0.3417233408
146	0.3407540847
147	0.3397797707
148	0.3390127942
149	0.3381272367
150	0.3374739918
151	0.3365499764
152	0.3358489363
153	0.3346096289
154	0.3335622488
155	0.3330435368
156	0.3323843412
157	0.3312172451
158	0.3299437092
159	0.3286515434
160	0.3275884576
161	0.326673907
162	0.3258985552
163	0.3249132653
164	0.3241480117
165	0.3237403895
166	0.3228217062
167	0.3218087999
168	0.3209179352
169	0.3200100995
170	0.318898409
171	0.3178641768
172	0.317245474
173	0.3166260762
174	0.3157319852
175	0.3149761326
176	0.3142430177
177	0.3138262818
178	0.3133229105
179	0.3124656436
180	0.311484352
181	0.3109798795
182	0.3105137113
183	0.3094123348
184	0.3087045454
185	0.3079423093
186	0.3071830682
187	0.3061122881
188	0.3054302485
189	0.3048046751
190	0.3042240702
191	0.3036602073
192	0.3028507151
193	0.3019732713
194	0.3009586452
195	0.3001835055
196	0.2999265813
197	0.2993810503
198	0.2986292957
199	0.2980043831
